old_path,new_path,confidence,rule_applied,notes,requires_review
00_AMPEL360_SPACET_GEN_90_SCH_SB90_K00_DATA__nku-ledger-schema_v01.json,00_AMPEL360_SPACET_GEN_GEN_SB90_K05_DATA__nku-ledger-schema_SCH_v01_ACTIVE.json,0.75,v4→v5_migration,BUCKET 90 → BLOCK GEN | KNOT K00 → K05: AoR 'DATA' suggests K05 | STATUS: ACTIVE (Version v01 suggests initial active release),YES
00_AMPEL360_SPACET_PLUS_00_CAT_LC01_K00_CM__nomenclature-quick-reference_v04.md,00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_CM__nomenclature-quick-reference_CAT_v04_ACTIVE.md,0.80,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: Keyword 'nomenclature' in description | STATUS: ACTIVE (Higher version suggests active document),YES
00_AMPEL360_SPACET_GEN_90_SCH_SB90_K00_DATA__knots-data-structure_v01.json,00_AMPEL360_SPACET_GEN_GEN_SB90_K05_DATA__knots-data-structure_SCH_v01_ACTIVE.json,0.75,v4→v5_migration,BUCKET 90 → BLOCK GEN | KNOT K00 → K05: Keyword 'data' in description | STATUS: ACTIVE (Version v01 suggests initial active release),YES
00_AMPEL360_SPACET_PLUS_00_STD_LC01_K00_DATA__identifier-grammar_v01.md,00_AMPEL360_SPACET_PLUS_GEN_LC01_K05_DATA__identifier-grammar_STD_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K05: AoR 'DATA' suggests K05 | STATUS: ACTIVE (Version v01 suggests initial active release),YES
00_AMPEL360_SPACET_CERT_00_PLAN_LC10_K01_CERT__knot-k01-certification-authority-basis_v01.md,00_AMPEL360_SPACET_CERT_GEN_LC10_K01_CERT__knot-k01-certification-authority-basis_PLAN_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | STATUS: ACTIVE (Version v01 suggests initial active release),YES
00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_DATA__ci-governance-gates_v01.md,00_AMPEL360_SPACET_PLUS_GEN_LC01_K05_DATA__ci-governance-gates_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K05: Keyword 'governance' in description | STATUS: ACTIVE (Version v01 suggests initial active release),YES
00_AMPEL360_SPACET_CERT_00_CAT_LC10_K00_CERT__knots-quick-reference_v01.md,00_AMPEL360_SPACET_CERT_GEN_LC10_K01_CERT__knots-quick-reference_CAT_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K01: AoR 'CERT' suggests K01 | STATUS: ACTIVE (Version v01 suggests initial active release),YES
00_AMPEL360_SPACET_PLUS_00_LOG_LC01_K06_DATA__k06-approvals_v01.md,00_AMPEL360_SPACET_PLUS_GEN_LC01_K06_DATA__k06-approvals_LOG_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | STATUS: ACTIVE (Version v01 suggests initial active release),YES
00_AMPEL360_SPACET_PLUS_00_STD_LC01_K00_DATA__ssot-decision-matrix_v01.md,00_AMPEL360_SPACET_PLUS_GEN_LC01_K05_DATA__ssot-decision-matrix_STD_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K05: AoR 'DATA' suggests K05 | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/00_AMPEL360_SPACET_PLUS_00_TAB_LC01_K00_DATA__knot-register_v01.csv,AMPEL360-SPACE-T-PORTAL/00_AMPEL360_SPACET_PLUS_GEN_LC01_K05_DATA__knot-register_TAB_v01_ACTIVE.csv,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K05: AoR 'DATA' suggests K05 | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_CM__stakeholder-entrypoints_v01.md,AMPEL360-SPACE-T-PORTAL/00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_CM__stakeholder-entrypoints_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: AoR 'CM' suggests K04 | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_SPACEPORT-spaceport-spaceport-airport-ops/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_SPACEPORT__stakeholder-spaceport-entrypoint_v01.md,AMPEL360-SPACE-T-PORTAL/STK_SPACEPORT-spaceport-spaceport-airport-ops/00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_SPACEPORT__stakeholder-spaceport-entrypoint_IDX_v01_ACTIVE.md,0.60,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: Default to K04 for global artifacts (requires manual review) | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_CERT-cert-certification-authorities/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_CERT__stakeholder-cert-entrypoint_v01.md,AMPEL360-SPACE-T-PORTAL/STK_CERT-cert-certification-authorities/00_AMPEL360_SPACET_PLUS_GEN_LC01_K01_CERT__stakeholder-cert-entrypoint_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K01: Keyword 'cert' in description | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_PMO-pmo-program-management-office/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_PMO__stakeholder-pmo-entrypoint_v01.md,AMPEL360-SPACE-T-PORTAL/STK_PMO-pmo-program-management-office/00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_PMO__stakeholder-pmo-entrypoint_IDX_v01_ACTIVE.md,0.60,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: Default to K04 for global artifacts (requires manual review) | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_TEST-test-ivvq-testing/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_TEST__stakeholder-test-entrypoint_v01.md,AMPEL360-SPACE-T-PORTAL/STK_TEST-test-ivvq-testing/00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_TEST__stakeholder-test-entrypoint_IDX_v01_ACTIVE.md,0.60,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: Default to K04 for global artifacts (requires manual review) | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_MRO-mro-mro-maintenance/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_MRO__stakeholder-mro-entrypoint_v01.md,AMPEL360-SPACE-T-PORTAL/STK_MRO-mro-mro-maintenance/00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_MRO__stakeholder-mro-entrypoint_IDX_v01_ACTIVE.md,0.60,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: Default to K04 for global artifacts (requires manual review) | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_DATA-data-data-governance/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_DATA__stakeholder-data-entrypoint_v01.md,AMPEL360-SPACE-T-PORTAL/STK_DATA-data-data-governance/00_AMPEL360_SPACET_PLUS_GEN_LC01_K05_DATA__stakeholder-data-entrypoint_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K05: Keyword 'data' in description | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_CY-cy-cybersecurity/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_CY__stakeholder-cy-entrypoint_v01.md,AMPEL360-SPACE-T-PORTAL/STK_CY-cy-cybersecurity/00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_CY__stakeholder-cy-entrypoint_IDX_v01_ACTIVE.md,0.60,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: Default to K04 for global artifacts (requires manual review) | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_AI-ai-ai-ml-engineering/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_AI__stakeholder-ai-entrypoint_v01.md,AMPEL360-SPACE-T-PORTAL/STK_AI-ai-ai-ml-engineering/00_AMPEL360_SPACET_PLUS_GEN_LC01_K11_AI__stakeholder-ai-entrypoint_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K11: Keyword 'ai' in description | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_SAF-saf-safety/00_AMPEL360_SPACET_PLUS_00_LST_LC01_K00_SAF__spacet-plus-dal-a-critical-bb-list_v01.md,AMPEL360-SPACE-T-PORTAL/STK_SAF-saf-safety/00_AMPEL360_SPACET_PLUS_GEN_LC01_K02_SAF__spacet-plus-dal-a-critical-bb-list_LST_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K02: AoR 'SAF' suggests K02 | STATUS: ACTIVE (Version v01 suggests initial active release),YES
